SOURCE_REPORTING_UNIT_NAME,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,LATITUDE,LONGITUDE,Locations_Address,OWNER_CODE,OWNER_DESCR,STATE,County
Plumas National Forest,BOULDER,2006,2453910,Lightning,2453930,193,1800,2920,40.2189,-120.607,"Greenville, CA 95947, USA",5,USFS,CA,Plumas
Six Rivers National Forest,PANTHER,2006,2453940,Lightning,2453960,224,1800,904,40.7319,-123.513,"Trinity County, CA, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,PIGEON,2006,2453980,Miscellaneous,2454020,283,1800,35101,40.7511,-123.151,"Big Bar, CA 96010, USA",5,USFS,CA,Trinity
San Bernardino National Forest,SUNRISE #2,2006,2454020,Miscellaneous,2454020,287,1700,507,33.9006,-116.753,"52091 Esperanza Ave, Cabazon, CA 92230, USA",14,MISSING/NOT SPECIFIED,CA,Riverside
San Bernardino National Forest,ESPERANZA,2006,2454030,Arson,2454040,303,1800,40200,33.8997,-116.766,"15217 Peach St, Cabazon, CA 92230, USA",14,MISSING/NOT SPECIFIED,CA,Riverside
Sierra National Forest,RUBE,2006,2454020,Lightning,2454020,285,1318,777,37.4781,-119.157,"Fresno County, CA, USA",5,USFS,CA,Madera
Sequoia National Forest,MAGGIE,2006,2453930,Lightning,2454080,345,1300,2097,36.2633,-118.615,"Tulare County, CA, USA",5,USFS,CA,Tulare
Sequoia National Forest,TAMARACK,2006,2453930,Lightning,2454080,345,1300,4654,36.3206,-118.403,"Tulare County, CA, USA",5,USFS,CA,Tulare
Sequoia National Forest,BRODER WFU,2006,2453940,Lightning,2453950,210,1330,1220,36.1419,-118.186,"Tulare County, CA, USA",5,USFS,CA,Tulare
Sequoia National Forest,BECK WFU,2006,2453940,Lightning,2454010,272,1330,2270,36.1667,-118.169,"Tulare County, CA, USA",5,USFS,CA,Tulare
San Bernardino National Forest,MILLARD,2006,2453930,Lightning,2453990,252,1800,24000,34.3417,-116.767,"Lucerne Valley, CA 92356, USA",5,USFS,CA,San Bernardino
San Bernardino National Forest,RAMP,2006,2453940,Equipment Use,2453940,204,1800,450,34.33,-117.513,"Dyer-Fulp Rd, Phelan, CA 92371, USA",5,USFS,CA,San Bernardino
San Bernardino National Forest,EMERALD,2006,2453980,Miscellaneous,2453980,247,1800,2109,34.0842,-117.094,"9022-9234 Emerald Ave, Mentone, CA 92359, USA",5,USFS,CA,San Bernardino
Plumas National Forest,BABCOCK PEAK,2007,2454290,Lightning,2454290,187,1830,400,40.1039,-120.625,"Plumas County, CA, USA",5,USFS,CA,Plumas
Los Padres National Forest,DIGIER,2007,2454300,Equipment Use,2454310,205,2200,340,34.8953,-118.92,"Gorman, CA 93243, USA",14,MISSING/NOT SPECIFIED,CA,Kern
Sequoia National Forest,JAMES,2007,2454310,Miscellaneous,2454310,214,1900,4200,35.7625,-118.4,"Kern County, CA, USA",5,USFS,CA,Kern
Sequoia National Forest,WOFFORD,2007,2454230,Miscellaneous,2454240,136,1900,567,35.7214,-118.405,"Kernville, CA 93238, USA",5,USFS,CA,Kern
Humboldt-Toiyabe National Forest,HIGHWAY,2007,2454240,Arson,2454250,146,1800,853,39.4628,-120.007,"Floriston, CA 96111, USA",13,STATE OR PRIVATE,CA,Sierra
Inyo National Forest,SAGE,2007,2454290,Lightning,2454290,192,600,6460,37.13,-118.385,"3035 Glacier Lodge Rd, Bishop, CA 93514, USA",5,USFS,CA,Inyo
Sequoia National Forest,GOLDLEDGE,2007,2454250,Miscellaneous,2454270,167,1700,4200,35.8947,-118.463,"Kernville, CA 93238, USA",5,USFS,CA,Kern
Klamath National Forest,CHINA,2007,2454290,Lightning,2454330,230,2359,2906,41.8431,-122.723,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
Plumas National Forest,MOONLIGHT,2007,2454350,Equipment Use,2454370,268,600,64994.4,40.2133,-120.864,"Plumas County, CA, USA",13,STATE OR PRIVATE,CA,Plumas
Plumas National Forest,WHEELER,2007,2454290,Lightning,2454300,202,1800,22905.8,40.1286,-120.636,"Taylorsville, CA 95983, USA",5,USFS,CA,Plumas
Humboldt-Toiyabe National Forest,BALLS CANYON,2007,2454290,Lightning,2454300,196,1800,4801,39.6831,-120.037,"Sierra County, CA, USA",13,STATE OR PRIVATE,CA,Sierra
Angeles National Forest,NORTH,2007,2454350,Lightning,2454350,245,1800,2200,34.4033,-118.261,"Acton, CA 93510, USA",5,USFS,CA,Los Angeles
Los Padres National Forest,RANCHO,2007,2454280,Miscellaneous,2454280,182,300,478,34.5431,-119.768,"Los Padres National Forest, Goleta, CA, USA",5,USFS,CA,Santa Barbara
Klamath National Forest,LITTLE GRIDER,2007,2454290,Lightning,2454440,340,1800,2171,41.7997,-123.428,"Happy Camp, CA 96039, USA",5,USFS,CA,Siskiyou
Angeles National Forest,GORMAN,2007,2454240,Equipment Use,2454240,140,1500,850,34.7569,-118.799,"48084 Ralphs Ranch Rd, Lebec, CA 93243, USA",14,MISSING/NOT SPECIFIED,CA,Los Angeles
Cleveland National Forest,PINE,2007,2454360,Campfire,2454380,275,1800,2170,32.8028,-116.561,"Guatay, CA 91931, USA",5,USFS,CA,San Diego
Lake Tahoe Basin Management Unit,ANGORA,2007,2454280,Campfire,2454300,201,1800,3100,38.8622,-120.052,"1899-1801 Mewuk Dr, South Lake Tahoe, CA 96150, USA",5,USFS,CA,El Dorado
Modoc National Forest,FLETCHER,2007,2454300,Lightning,2454320,216,1700,8121,41.9883,-120.545,"Davis Creek, CA 96108, USA",5,USFS,CA,Modoc
Shasta-Trinity National Forest,BEAR,2007,2454330,Equipment Use,2454360,261,800,562,41.2672,-121.718,"McCloud, CA 96057, USA",5,USFS,CA,Siskiyou
Klamath National Forest,WINGATE,2007,2454290,Lightning,2454300,196,1800,916,41.7117,-123,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
Los Padres National Forest,ZACA,2007,2454290,Equipment Use,2454350,245,1800,240207,34.7792,-120.09,"Santa Ynez, CA 93460, USA",14,MISSING/NOT SPECIFIED,CA,Santa Barbara
Cleveland National Forest,MCCOY,2007,2454390,Miscellaneous,2454400,297,1800,353,32.8708,-116.636,"23854 Sundance View Ln, Descanso, CA 91916, USA",13,STATE OR PRIVATE,CA,San Diego
Shasta-Trinity National Forest,BOLLI,2007,2454240,Debris Burning,2454250,147,1800,730,41.0014,-122.151,"Shasta County, CA, USA",13,STATE OR PRIVATE,CA,Shasta
Cleveland National Forest,SANTIAGO,2007,2454390,Miscellaneous,2454410,312,1800,28476,33.7458,-117.667,"Irvine Mesa Rd, Silverado, CA 92676, USA",14,MISSING/NOT SPECIFIED,CA,Orange
San Bernardino National Forest,MERIDIAN,2007,2454290,Lightning,2454290,186,2300,400,34.3703,-116.904,"35190-34866 Powerline Rd, Lucerne Valley, CA 92356, USA",14,MISSING/NOT SPECIFIED,CA,San Bernardino
San Bernardino National Forest,BUTLER 2,2007,2454360,Miscellaneous,,,,14039,34.2581,-117.01,"36606-36400 2N13C, California, USA",5,USFS,CA,San Bernardino
San Bernardino National Forest,GRASS VALLEY,2007,2454400,Miscellaneous,,,,1247,34.2747,-117.217,"1354 Edgecliff Dr, Lake Arrowhead, CA 92352, USA",5,USFS,CA,San Bernardino
San Bernardino National Forest,SLIDE,2007,2454400,Miscellaneous,2454420,318,600,12759,34.2519,-117.05,"35318-35258 Snow Slide Rd, Green Valley Lake, CA 92341, USA",5,USFS,CA,San Bernardino
Los Padres National Forest,RANCH,2007,2454390,Equipment Use,2454420,319,1800,45300,34.5731,-118.698,"Golden State Hwy, Castaic, CA 91384, USA",5,USFS,CA,Los Angeles
Inyo National Forest,JUNE,2007,2454290,Lightning,2454300,197,1200,682,37.9169,-119.114,"Mono County, CA, USA",5,USFS,CA,Mono
Shasta-Trinity National Forest,WALLOW,2007,2454340,Equipment Use,2454350,251,1900,1440,40.4839,-123.352,"Trinity County, CA, USA",13,STATE OR PRIVATE,CA,Trinity
Shasta-Trinity National Forest,LAZY,2007,2454340,Lightning,2454350,252,1800,599,40.0897,-122.951,"California, USA",5,USFS,CA,Tehama
Cleveland National Forest,WITCH,2007,2454390,Miscellaneous,2454400,304,1800,197990,33.0744,-116.711,"San Diego County, CA, USA",14,MISSING/NOT SPECIFIED,CA,San Diego
Inyo National Forest,O'HARREL,2007,2454400,Lightning,2454450,352,1441,560,37.7692,-118.74,"Sierra Nevada, California, USA",5,USFS,CA,Mono
Cleveland National Forest,RICE,2007,2454400,Miscellaneous,2454400,302,1900,9472,33.3969,-117.148,"8685 Rancho Taza Rd, Fallbrook, CA 92028, USA",14,MISSING/NOT SPECIFIED,CA,San Diego
Sequoia National Forest,GROUSE,2007,2454340,Lightning,2454450,352,930,1022,36.2781,-118.422,"Tulare County, CA, USA",5,USFS,CA,Tulare
Angeles National Forest,BUCKWEED,2007,2454390,Children,2454390,294,1320,38356,34.5244,-118.335,"Spring Canyon Rd, Santa Clarita, CA 91390, USA",14,MISSING/NOT SPECIFIED,CA,Los Angeles
Cleveland National Forest,POOMACHA,2007,2454400,Miscellaneous,2454440,335,1800,49390,33.2775,-116.868,"CA-76, Pauma Valley, CA 92061, USA",14,MISSING/NOT SPECIFIED,CA,San Diego
San Bernardino National Forest,APACHE,2008,2454590,Smoking,2454590,128,1800,769,33.7203,-116.625,"Mountain Center, CA 92561, USA",5,USFS,CA,Riverside
Los Padres National Forest,INDIANS,2008,2454630,Campfire,2454660,192,1800,81378,36.1053,-121.431,"Greenfield, CA 93927, USA",5,USFS,CA,Monterey
Klamath National Forest,THREE,2008,2454640,Lightning,2454670,205,1800,4913,41.5997,-123.568,"Happy Camp, CA 96039, USA",5,USFS,CA,Siskiyou
Klamath National Forest,CARIBOU,2008,2454640,Lightning,2454820,351,1300,13116,41.0347,-123.003,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
Los Padres National Forest,BASIN COMPLEX,2008,2454640,Lightning,2454670,209,1800,162818,36.2811,-121.658,"Los Padres National Forest, Goleta, CA, USA",5,USFS,CA,Monterey
Angeles National Forest,BIGHORN,2008,2454600,Miscellaneous,2454610,144,1800,490,34.2494,-117.652,"San Bernardino County, CA, USA",5,USFS,CA,San Bernardino
Angeles National Forest,SANTA ANITA,2008,2454580,Arson,2454590,123,1800,584,34.1733,-118.03,"2402 Chantry Flat Rd, Sierra Madre, CA 91024, USA",14,MISSING/NOT SPECIFIED,CA,Los Angeles
Plumas National Forest,COLD,2008,2454640,Lightning,2454710,244,1800,5512,39.8422,-120.837,"Sierra Nevada, California, USA",5,USFS,CA,Plumas
Sequoia National Forest,RICHBAR,2008,2454630,Arson,2454630,161,2000,312,35.4819,-118.719,"Bakersfield, CA 93306, USA",5,USFS,CA,Kern
Sierra National Forest,SILVER KNOB,2008,2454640,Lightning,2454640,178,1800,600,37.4392,-119.677,"Fish Camp, CA 93623, USA",5,USFS,CA,Mariposa
Sierra National Forest,OLIVER,2008,2454640,Lightning,2454660,196,1800,2200,37.4872,-119.754,"Mariposa, CA 95338, USA",5,USFS,CA,Mariposa
Klamath National Forest,PANTHER,2008,2454670,Lightning,2454750,288,1800,44452,41.5925,-123.432,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
Klamath National Forest,DARK,2008,2454640,Lightning,2454670,205,1800,10388,41.6156,-123.577,"Happy Camp, CA 96039, USA",5,USFS,CA,Siskiyou
Los Padres National Forest,GAP,2008,2454650,Miscellaneous,2454660,199,1000,9443,34.5008,-119.861,"6361-6325 W Camino Cielo, Santa Barbara, CA 93105, USA",5,USFS,CA,Santa Barbara
Plumas National Forest,QUARRY,2008,2454640,Lightning,2454640,175,1300,439,39.9186,-121.354,"Plumas County, CA, USA",5,USFS,CA,Plumas
Shasta-Trinity National Forest,EAGLE,2008,2454640,Lightning,2454740,278,1800,32059,40.7342,-123.167,"Trinity County, CA, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,ZEIGLER,2008,2454640,Lightning,2454680,213,1800,2349,40.8667,-123.475,"Trinity County, CA, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,IRONSIDE,2008,2454640,Lightning,2454680,213,1800,12720,40.8333,-123.434,"Trinity County, CA, USA",5,USFS,CA,Trinity
Lassen National Forest,PETERSON,2008,2454640,Lightning,2454650,183,1800,2750,40.9125,-121.342,"Shasta County, CA, USA",5,USFS,CA,Shasta
Plumas National Forest,RICH,2008,2454680,Railroad,2454710,246,1800,6112,40.02,-121.168,"Oroville, CA 95915, USA",5,USFS,CA,Plumas
Klamath National Forest,ANTHONY MILNE,2008,2454650,Lightning,2454820,351,1300,1779,41.505,-123.182,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
Mendocino National Forest,MILL,2008,2454640,Lightning,2454670,208,1200,3043,39.4783,-123.043,"Potter Valley, CA 95469, USA",5,USFS,CA,Lake
Lassen National Forest,VENTURE,2008,2454640,Lightning,2454650,186,2128,1912,40.9933,-121.602,"Burney, CA 96013, USA",5,USFS,CA,Shasta
Shasta-Trinity National Forest,MINERS,2008,2454640,Lightning,2454770,305,1800,24776,40.6697,-123.306,"Trinity County, CA, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,LIME,2008,2454640,Lightning,2454690,226,800,25199,40.5183,-123.423,"Hyampom, CA 96046, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,DEADSHOT,2008,2454640,Lightning,2454660,190,1800,1069,40.4839,-122.93,"Wildwood, CA 96076, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,SLIDE,2008,2454640,Lightning,2454660,190,2000,1158,40.6661,-123.52,"Hyampom, CA 96046, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,TELEPHONE,2008,2454640,Lightning,2454690,226,800,6625,40.4067,-123.132,"Wildwood, CA 96076, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,TROUGH #1,2008,2454640,Lightning,2454690,226,800,3674,40.2006,-123.125,"Mad River, CA 95552, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,NOBLE,2008,2454640,Lightning,2454660,190,2000,12856,40.3258,-122.962,"Shasta County, CA, USA",5,USFS,CA,Tehama
Shasta-Trinity National Forest,DEERLICK,2008,2454640,Lightning,2454690,226,800,10213,40.4633,-122.883,"Wildwood, CA 96076, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,IRON,2008,2454640,Lightning,2454700,236,800,32903,40.1458,-122.866,"California, USA",5,USFS,CA,Trinity
Mendocino National Forest,BIG,2008,2454640,Lightning,2454650,187,1200,2193,39.4289,-123.064,"Potter Valley, CA 95469, USA",13,STATE OR PRIVATE,CA,Lake
Mendocino National Forest,MONKEY  ROCK,2008,2454640,Lightning,2454660,196,1200,1829,39.5522,-122.961,"Mendocino County, CA, USA",5,USFS,CA,Lake
Mendocino National Forest,BACK,2008,2454640,Lightning,2454650,181,1800,1567,39.375,-122.976,"Potter Valley, CA 95469, USA",5,USFS,CA,Lake
Mendocino National Forest,VINEGAR,2008,2454640,Lightning,2454640,177,800,17449,40.0672,-122.931,"California, USA",5,USFS,CA,Glenn
Mendocino National Forest,WHISKEY,2008,2454630,Miscellaneous,2454770,301,800,7783,39.8939,-122.708,"Tehama County, CA, USA",5,USFS,CA,Glenn
Six Rivers National Forest,TRAVIS,2008,2454640,Lightning,2454640,178,1800,957,40.115,-123.294,"Trinity County, CA, USA",5,USFS,CA,Trinity
Humboldt-Toiyabe National Forest,SILVER CREEK,2008,2454700,Lightning,2454700,236,1800,680,38.3697,-119.519,"Coleville, CA 96107, USA",5,USFS,CA,Mono
Shasta-Trinity National Forest,GULCH,2008,2454720,Equipment Use,2454720,255,1800,2847,40.3667,-122.935,"Wildwood, CA 96076, USA",5,USFS,CA,Shasta
Lassen National Forest,CUB,2008,2454640,Lightning,2454680,213,2000,14936,40.1792,-121.47,"Sierra Nevada, California, USA",5,USFS,CA,Tehama
Lassen National Forest,ONION 2,2008,2454640,Lightning,2454670,204,600,4851,40.1808,-121.567,"Tehama County, CA, USA",14,MISSING/NOT SPECIFIED,CA,Tehama
Plumas National Forest,LITTLE,2008,2454640,Lightning,2454710,244,,1450,39.7733,-121.25,"Berry Creek, CA 95916, USA",5,USFS,CA,Plumas
Plumas National Forest,FOX,2008,2454640,Lightning,2454710,244,,400,39.7647,-121.326,"Butte County, CA, USA",5,USFS,CA,Butte
Plumas National Forest,CHINO,2008,2454640,Lightning,2454710,244,,340,39.7639,-121.437,"Oroville, CA 95965, USA",5,USFS,CA,Butte
Plumas National Forest,SOUTH,2008,2454640,Lightning,2454710,244,,1000,39.7061,-121.251,"Berry Creek, CA 95916, USA",5,USFS,CA,Butte
Tahoe National Forest,CELINA,2008,2454640,Lightning,2454700,233,1800,397,39.4667,-120.75,"Nevada City, CA 95959, USA",5,USFS,CA,Sierra
Klamath National Forest,SLINKARD,2008,2454700,Lightning,2454750,288,1300,374,41.8222,-123.172,"Klamath River, CA 96050, USA",5,USFS,CA,Siskiyou
Six Rivers National Forest,BONANZA,2008,2454640,Lightning,2454650,187,1523,1370,40.2225,-123.222,"Mad River, CA 95552, USA",5,USFS,CA,Trinity
Cleveland National Forest,ROBLAR,2008,2454730,Miscellaneous,2454730,269,2358,400,33.425,-117.392,"Oceanside, CA 92055, USA",14,MISSING/NOT SPECIFIED,CA,San Diego
Stanislaus National Forest,DOME ROCK,2008,2454740,Lightning,2454740,275,915,914,38.3342,-119.984,"Sierra Nevada, California, USA",5,USFS,CA,Tuolumne
Tahoe National Forest,GOVERNMENT,2008,2454640,Lightning,2454680,214,600,9164,39.2156,-120.649,"Placer County, CA, USA",5,USFS,CA,Placer
Los Padres National Forest,CHALK,2008,2454740,Miscellaneous,,,,11200,36.0025,-121.44,"Big Sur, CA 93920, USA",5,USFS,CA,Monterey
Lassen National Forest,LONG BRANCH-JACK,2008,2454690,Lightning,2454700,230,600,3934,39.9517,-121.334,"Sierra Nevada, California, USA",5,USFS,CA,Plumas
Sequoia National Forest,CLOVER,2008,2454620,Lightning,2454620,159,2300,15300,36.1167,-118.134,"Pearsonville, CA 93527, USA",5,USFS,CA,Tulare
Sequoia National Forest,PIUTE,2008,2454650,Miscellaneous,2454680,212,2300,37026,35.4192,-118.4,"Kern County, CA, USA",5,USFS,CA,Kern
Sequoia National Forest,HONEYBEE,2008,2454590,Lightning,2454650,183,1800,1225,35.1667,-118.052,"California City, CA, USA",5,USFS,CA,Tulare
Six Rivers National Forest,MILL,2008,2454640,Lightning,2454740,277,1800,65834,41.5633,-123.595,"Happy Camp, CA 96039, USA",5,USFS,CA,Siskiyou
Six Rivers National Forest,BLUE 2,2008,2454640,Lightning,2454740,277,1800,17540,41.5653,-123.821,"Del Norte County, CA, USA",5,USFS,CA,Del Norte
Six Rivers National Forest,HALF,2008,2454640,Lightning,2454700,238,1900,15118,40.7711,-123.528,"Trinity County, CA, USA",5,USFS,CA,Trinity
Six Rivers National Forest,JAKE,2008,2454640,Lightning,2454740,277,1800,38394,41.3564,-123.376,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
Six Rivers National Forest,HAYPRESS,2008,2454640,Lightning,2454740,277,1800,13654,41.4533,-123.393,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
Six Rivers National Forest,MERRILL,2008,2454640,Lightning,2454740,277,1800,8332,41.4253,-123.431,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
Tahoe National Forest,SCOTCHMAN,2008,2454640,Lightning,2454640,175,1935,1230,39.3494,-120.779,"Nevada City, CA 95959, USA",13,STATE OR PRIVATE,CA,Nevada
Tahoe National Forest,FALL,2008,2454640,Lightning,2454640,175,2055,2420,39.36,-120.697,"Nevada County, CA, USA",5,USFS,CA,Nevada
Tahoe National Forest,PEAVINE,2008,2454640,Lightning,2454680,214,600,552,39.2822,-120.614,"Nevada City, CA 95959, USA",5,USFS,CA,Placer
