FIRE_NAME,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_YEAR,START_DATE,END_DATE,STATE,COUNTY,OWNER_DESCR,STAT_CAUSE_DESCR
JONES,41.4871,-120.5424,375,2017,8/23/2017,8/27/2017,CA,Modoc,USFS,LIGHTNING
BEALE,39.1404,-121.617,950,2017,8/20/2017,8/20/2017,CA,Yuba,CAL FIRE,UNDER INVESTIGATION
ECLIPSE COMPLEX,41.7326,-122.6378,78698,2017,8/15/2017,10/10/2017,CA,Siskiyou,USFS,LIGHTNING
MIAS,33.9534,-117.3962,600,2017,8/14/2017,8/18/2017,CA,Riverside,CAL FIRE,ELECTRICAL POWER
BLAINE,33.9534,-117.3962,1500,2017,8/13/2017,8/16/2017,CA,Riverside,CAL FIRE,UNDETERMINED
SOUTH FORK,37.7344,-119.6065,7000,2017,8/13/2017,8/13/2017,CA,Mariposa,NPS,UNDER INVESTIGATION
ROSE,35.3739,-119.0195,338,2017,8/10/2017,8/10/2017,CA,Kern,CC,HUMAN
RUTH COMPLEX,40.5543,-123.1831,4736,2017,8/9/2017,8/25/2017,CA,Trinity,USFS,LIGHTNING
YOUNG,41.7559,-124.2018,21377,2017,8/7/2017,10/15/2017,CA,Del Norte,USFS,UNDER INVESTIGATION
BUTTE,37.0191,-120.0669,635,2017,8/7/2017,8/17/2017,CA,Madera,USFS,LIGHTNING
POSLIN,40.4163,-120.6531,860,2017,8/6/2017,8/9/2017,CA,Lassen,USFS,LIGHTNING
CHILCOOT,39.9341,-120.8981,1021,2017,8/6/2017,8/8/2017,CA,Plumas,USFS,LIGHTNING
INDIAN,36.1427,-118.6093,2295,2017,8/3/2017,8/29/2017,CA,Tulare,USFS,LIGHTNING
BRYANT 2,34.1083,-117.2898,325,2017,8/3/2017,8/14/2017,CA,San Bernardino,CAL FIRE,UNDETERMINED
PARKER 2,41.4871,-120.5424,7697,2017,8/3/2017,8/14/2017,CA,Modoc,USFS,LIGHTNING
RED,35.2828,-120.6597,450,2017,8/2/2017,8/3/2017,CA,San Luis Obispo,USFS,UNDER INVESTIGATION
EMPIRE,37.7344,-119.6065,6370,2017,8/1/2017,8/1/2017,CA,Mariposa,NPS,LIGHTNING
SUMMIT COMPLEX,37.9608,-120.2375,5248,2017,7/31/2017,11/30/2017,CA,Tuolumne,USFS,UNDER INVESTIGATION
GRANT,37.6433,-118.9669,400,2017,7/31/2017,8/3/2017,CA,Mono,USFS,LIGHTNING
GARDEN,35.3739,-119.0195,450,2017,7/30/2017,8/9/2017,CA,Kern,USFS,HUMAN
ROADRUNNER,36.1427,-118.6093,2289,2017,7/30/2017,7/31/2017,CA,Tulare,CAL FIRE,ARSON
MINERVA 5,39.9341,-120.8981,4310,2017,7/29/2017,8/16/2017,CA,Plumas,USFS,UNDER INVESTIGATION
JACKSONVILLE,37.9608,-120.2375,675,2017,7/29/2017,8/4/2017,CA,Tuolumne,CAL FIRE,UNDETERMINED
LATROBE,38.5816,-121.4944,1268,2017,7/26/2017,7/28/2017,CA,Sacramento,CAL FIRE,DEBRIS BURNING
ORLEANS COMPLEX,41.7326,-122.6378,27276,2017,7/25/2017,10/12/2017,CA,Siskiyou,USFS,LIGHTNING
MODOC JULY COMPLEX,41.4871,-120.5424,83120,2017,7/24/2017,8/13/2017,CA,Modoc,USFS,UNDER INVESTIGATION
ELEPHANT 2,36.1427,-118.6093,416,2017,7/20/2017,7/21/2017,CA,Tulare,CAL FIRE,ARSON
MARBLE,41.7326,-122.6378,319,2017,7/19/2017,7/28/2017,CA,Siskiyou,USFS,UNDER INVESTIGATION
HUDSON,35.3739,-119.0195,1083,2017,7/18/2017,7/18/2017,CA,Kern,LOCAL,UNDER INVESTIGATION
PARK,36.7394,-119.7849,1649,2017,7/17/2017,7/30/2017,CA,Fresno,CAL FIRE,EQUIPMENT USE
DETWILER,37.7344,-119.6065,100000,2017,7/16/2017,8/31/2017,CA,Mariposa,CAL FIRE,SHOOTING
BRIDGE 2,34.1083,-117.2898,460,2017,7/14/2017,7/18/2017,CA,San Bernardino,CAL FIRE,UNDETERMINED
DOBE,41.4871,-120.5424,410,2017,7/13/2017,7/31/2017,CA,Modoc,USFS,HUMAN
LONG VALLEY,40.4163,-120.6531,83733,2017,7/11/2017,7/25/2017,CA,Lassen,BLM,UNDER INVESTIGATION
JENNINGS 2,32.7174,-117.1628,400,2017,7/11/2017,7/14/2017,CA,San Diego,CAL FIRE,VEHICLE
GARZA,36.3275,-119.6457,70000,2017,7/9/2017,7/25/2017,CA,Kings,CAL FIRE,EQUIPMENT USE
WINTER,38.7318,-121.8078,2269,2017,7/9/2017,7/12/2017,CA,Yolo,CAL FIRE,UNDER INVESTIGATION
STONE,35.2828,-120.6597,340,2017,7/9/2017,7/11/2017,CA,San Luis Obispo,CAL FIRE,EQUIPMENT USE
WHITTIER,34.4221,-119.7027,18430,2017,7/8/2017,10/5/2017,CA,Santa Barbara,USFS,UNDER INVESTIGATION
PARKFIELD,36.2127,-121.1261,1816,2017,7/8/2017,7/8/2017,CA,Monterey,CAL FIRE,ELECTRICAL POWER
WALL,39.7596,-121.622,6033,2017,7/7/2017,8/3/2017,CA,Butte,CAL FIRE,ELECTRICAL POWER
ALAMO,35.2828,-120.6597,28687,2017,7/6/2017,7/22/2017,CA,San Luis Obispo,CAL FIRE,UNDER INVESTIGATION
QUAL COMPLEX,35.3739,-119.0195,1626,2017,7/6/2017,7/6/2017,CA,Kern,CC,UNDER INVESTIGATION
FAY,41.7326,-122.6378,496,2017,7/5/2017,7/31/2017,CA,Siskiyou,CAL FIRE,MISCELLANEOUS
DERRICK,36.7394,-119.7849,1562,2017,7/2/2017,7/5/2017,CA,Fresno,CAL FIRE,UNDETERMINED
TARINA,35.3739,-119.0195,1200,2017,6/30/2017,7/1/2017,CA,Kern,CC,UNDER INVESTIGATION
BEN,37.7344,-119.6065,558,2017,6/28/2017,7/6/2017,CA,Mariposa,CAL FIRE,VEHICLE
BATTLE,41.4871,-120.5424,640,2017,6/28/2017,7/1/2017,CA,Modoc,USFS,UNDER INVESTIGATION
CRISTIANITOS,32.7174,-117.1628,761,2017,6/28/2017,7/1/2017,CA,San Diego,DOD,UNDER INVESTIGATION
MART,34.1083,-117.2898,670,2017,6/27/2017,7/1/2017,CA,San Bernardino,USFS,UNDER INVESTIGATION
MANZANITA,33.9534,-117.3962,6309,2017,6/26/2017,6/30/2017,CA,Riverside,CAL FIRE,VEHICLE
HILL,35.2828,-120.6597,1626,2017,6/26/2017,6/28/2017,CA,San Luis Obispo,CAL FIRE,VEHICLE
PLACERITA,34.0549,-118.2445,870,2017,6/25/2017,6/28/2017,CA,Los Angeles,LOCAL,UNDER INVESTIGATION
SCHAEFFER,36.1427,-118.6093,16031,2017,6/24/2017,8/5/2017,CA,Tulare,USFS,LIGHTNING
CREEK,36.7394,-119.7849,357,2017,6/23/2017,6/27/2017,CA,Fresno,CAL FIRE,DEBRIS BURNING
HOLCOMB,34.1083,-117.2898,1503,2017,6/21/2017,6/29/2017,CA,San Bernardino,USFS,UNDER INVESTIGATION
HIGHWAY,35.3739,-119.0195,1522,2017,6/21/2017,6/25/2017,CA,Kern,USFS,UNDER INVESTIGATION
LAKE,34.0549,-118.2445,800,2017,6/17/2017,6/23/2017,CA,Los Angeles,USFS,UNDER INVESTIGATION
MONTEREY,36.7394,-119.7849,450,2017,6/11/2017,6/11/2017,CA,Fresno,CAL FIRE,SHOOTING
OAKWOOD,37.0191,-120.0669,1417,2017,6/10/2017,6/13/2017,CA,Madera,CAL FIRE,SHOOTING
DINELY,36.1427,-118.6093,339,2017,6/7/2017,6/10/2017,CA,Tulare,CAL FIRE,EQUIPMENT USE
GATE,32.7174,-117.1628,2056,2017,5/20/2017,5/22/2017,CA,San Diego,CAL FIRE,UNDETERMINED
MING,35.3739,-119.0195,506,2017,5/20/2017,5/21/2017,CA,Kern,CC,UNDER INVESTIGATION
DELUZ,32.7174,-117.1628,486,2017,5/19/2017,5/22/2017,CA,San Diego,DOD,HUMAN
ELM 2,36.7394,-119.7849,10000,2017,5/18/2017,5/21/2017,CA,Fresno,CAL FIRE,ELECTRICAL POWER
WRIGHT,37.303,-120.4844,1680,2017,5/12/2017,5/13/2017,CA,Merced,CAL FIRE,UNDETERMINED
OPERA,33.9534,-117.3962,1350,2017,4/30/2017,5/2/2017,CA,Riverside,CAL FIRE,UNDETERMINED
EL DORADO,36.7394,-119.7849,750,2017,4/28/2017,4/28/2017,CA,Fresno,CAL FIRE,UNDETERMINED
JAYNE,36.7394,-119.7849,4533,2017,4/20/2017,4/21/2017,CA,Fresno,CAL FIRE,EQUIPMENT USE
WEST,41.4871,-120.5424,401,2017,4/1/2017,4/1/2017,CA,Modoc,BLM,HUMAN
HIDDEN,36.1427,-118.6093,2768,2016,11/2/2016,11/23/2016,CA,Tulare,USFS,LIGHTNING
MEADOW,36.1427,-118.6093,4347,2016,10/29/2016,11/22/2016,CA,Tulare,USFS,LIGHTNING
JACOBSON,36.1427,-118.6093,1702,2016,10/20/2016,11/1/2016,CA,Tulare,USFS,UNDETERMINED
SACATA,36.7394,-119.7849,2100,2016,10/11/2016,10/19/2016,CA,Fresno,USFS,UNDETERMINED
SLATE,36.1427,-118.6093,2160,2016,10/4/2016,11/5/2016,CA,Tulare,USFS,LIGHTNING
LOMA,37.2638,-122.0231,4474,2016,9/26/2016,11/8/2016,CA,Santa Clara,CAL FIRE,UNDETERMINED
MARSHES,37.9608,-120.2375,1080,2016,9/26/2016,10/4/2016,CA,Tuolumne,CAL FIRE,VEHICLE
SAWMILL,38.2931,-122.4577,1547,2016,9/25/2016,10/1/2016,CA,Sonoma,CAL FIRE,UNDETERMINED
FLAT,35.3739,-119.0195,307,2016,9/19/2016,9/22/2016,CA,Kern,CC,EQUIPMENT
SOUP COMPLEX,41.4871,-120.5424,2722,2016,9/17/2016,10/31/2016,CA,Modoc,USFS,UNDETERMINED
OWENS RIVER,37.6433,-118.9669,5443,2016,9/17/2016,10/15/2016,CA,Mono,USFS,UNDETERMINED
CANYON,34.4221,-119.7027,12742,2016,9/17/2016,9/24/2016,CA,Santa Barbara,MIL,UNDETERMINED
CROWN,36.7394,-119.7849,800,2016,9/15/2016,10/31/2016,CA,Fresno,USFS,LIGHTNING
HOG,40.1785,-122.2359,321,2016,9/13/2016,9/13/2016,CA,Tehama,CAL FIRE,ELECTRICAL POWER
WILLARD,40.4163,-120.6531,2575,2016,9/11/2016,10/12/2016,CA,Lassen,CAL FIRE,UNDETERMINED
HOWARD,41.4871,-120.5424,380,2016,9/11/2016,9/15/2016,CA,Modoc,CAL FIRE,RAILROAD
SADDLE,39.7596,-121.622,800,2016,9/5/2016,9/22/2016,CA,Butte,CAL FIRE,VEHICLE
BOGART,33.9534,-117.3962,1470,2016,8/30/2016,9/5/2016,CA,Riverside,CAL FIRE,UNDETERMINED
WILLOW,38.0683,-120.5397,450,2016,8/28/2016,9/4/2016,CA,Calaveras,CAL FIRE,VEHICLE
HAVILA,35.3739,-119.0195,304,2016,8/27/2016,8/31/2016,CA,Kern,CC,UNDETERMINED
RANGE,35.3739,-119.0195,600,2016,8/26/2016,8/31/2016,CA,Kern,CC,HUMAN
GRADE,41.7326,-122.6378,710,2016,8/24/2016,9/10/2016,CA,Siskiyou,CAL FIRE,ELECTRICAL POWER
TULLY,40.5974,-124.1561,599,2016,8/22/2016,9/9/2016,CA,Humboldt,CAL FIRE,ARSON
TULE,36.1427,-118.6093,395,2016,8/22/2016,8/22/2016,CA,Tulare,USFS,UNDETERMINED
MOKELUMNE,38.6949,-119.7803,655,2016,8/19/2016,9/20/2016,CA,Alpine,USFS,LIGHTNING
REY,34.4221,-119.7027,32606,2016,8/18/2016,9/15/2016,CA,Santa Barbara,USFS,UNDETERMINED
BEALE,39.1404,-121.617,389,2016,8/18/2016,8/19/2016,CA,Yuba,CAL FIRE,MISCELLANEOUS
CEDAR,35.3739,-119.0195,29322,2016,8/16/2016,9/24/2016,CA,Kern,USFS,UNDETERMINED
BLUECUT,34.1083,-117.2898,36274,2016,8/16/2016,9/8/2016,CA,San Bernardino,USFS,UNDETERMINED
CHIMNEY,35.2828,-120.6597,46235,2016,8/13/2016,9/7/2016,CA,San Luis Obispo,CAL FIRE,VEHICLE
CLAYTON,39.043,-122.9159,3929,2016,8/13/2016,9/3/2016,CA,Lake,CAL FIRE,ARSON
HORSESHOE,37.365,-118.3947,369,2016,8/9/2016,8/17/2016,CA,Inyo,USFS,UNDETERMINED
MINERAL,36.7394,-119.7849,7050,2016,8/8/2016,8/19/2016,CA,Fresno,CAL FIRE,ARSON
PILOT,34.1083,-117.2898,8110,2016,8/7/2016,8/16/2016,CA,San Bernardino,USFS,UNDETERMINED
CLARK,37.6433,-118.9669,2819,2016,8/4/2016,8/12/2016,CA,Mono,USFS,LIGHTNING
COLD,38.7318,-121.8078,5731,2016,8/2/2016,8/12/2016,CA,Yolo,CAL FIRE,UNDETERMINED
99,39.7596,-121.622,520,2016,8/2/2016,8/8/2016,CA,Butte,CAL FIRE,PLAYING WITH FIRE
GOOSE,36.7394,-119.7849,2241,2016,7/30/2016,8/9/2016,CA,Fresno,CAL FIRE,ARSON
SOBERANES,36.2127,-121.1261,103242,2016,7/22/2016,8/28/2016,CA,Monterey,CAL FIRE,CAMPFIRE
SAND,34.0549,-118.2445,41383,2016,7/22/2016,8/6/2016,CA,Los Angeles,USFS,UNDETERMINED
ROBLAR,32.7174,-117.1628,1245,2016,7/21/2016,7/27/2016,CA,San Diego,MIL,UNDETERMINED
PACHECO,38.0683,-120.5397,341,2016,7/12/2016,7/18/2016,CA,Calaveras,CAL FIRE,EQUIPMENT
SAGE,34.0549,-118.2445,1100,2016,7/9/2016,7/16/2016,CA,Los Angeles,CC,CAMPFIRE
FIDDLER,40.68,-122.3627,303,2016,7/8/2016,7/9/2016,CA,Shasta,CAL FIRE,ARSON
FORT,35.3739,-119.0195,554,2016,7/8/2016,7/9/2016,CA,Kern,CC,UNDETERMINED
APPALOOSA,38.0683,-120.5397,310,2016,7/2/2016,7/15/2016,CA,Calaveras,CAL FIRE,ELECTRICAL POWER
DEER,35.3739,-119.0195,1785,2016,7/1/2016,7/10/2016,CA,Kern,CC,UNDETERMINED
CURRY,36.7394,-119.7849,2944,2016,7/1/2016,7/4/2016,CA,Fresno,CAL FIRE,UNDETERMINED
PINE,34.2783,-119.2932,2304,2016,6/30/2016,7/17/2016,CA,Ventura,USFS,UNDETERMINED
COLYEAR,40.1785,-122.2359,464,2016,6/30/2016,7/6/2016,CA,Tehama,CAL FIRE,ELECTRICAL POWER
TRAILHEAD,39.1113,-120.6247,5645,2016,6/28/2016,8/14/2016,CA,Placer,CAL FIRE,UNDETERMINED
RANCHO,38.5816,-121.4944,372,2016,6/28/2016,6/30/2016,CA,Sacramento,CAL FIRE,VEHICLE
LAKES,37.7344,-119.6065,1001,2016,6/26/2016,10/31/2016,CA,Mariposa,NPS,LIGHTNING
DINOSAUR,37.303,-120.4844,1246,2016,6/25/2016,6/26/2016,CA,Merced,CAL FIRE,VEHICLE
MARINA,37.6433,-118.9669,654,2016,6/24/2016,7/4/2016,CA,Mono,USFS,UNDETERMINED
ERSKINE,35.3739,-119.0195,48019,2016,6/23/2016,7/9/2016,CA,Kern,USFS,UNDETERMINED
RESERVOIR,34.0549,-118.2445,1146,2016,6/20/2016,7/5/2016,CA,Los Angeles,USFS,HUMAN
FISH,34.0549,-118.2445,4253,2016,6/20/2016,7/5/2016,CA,Los Angeles,USFS,HUMAN
BORDER 3,32.7174,-117.1628,7609,2016,6/19/2016,7/1/2016,CA,San Diego,CAL FIRE,UNDETERMINED
SHERPA,34.4221,-119.7027,7474,2016,6/15/2016,6/23/2016,CA,Santa Barbara,USFS,UNDETERMINED
PONY,41.7326,-122.6378,2860,2016,6/7/2016,10/2/2016,CA,Siskiyou,USFS,UNDETERMINED
COLEMAN,36.2127,-121.1261,2520,2016,6/4/2016,6/17/2016,CA,Monterey,USFS,UNDETERMINED
OLD,34.0549,-118.2445,465,2016,6/4/2016,6/10/2016,CA,Los Angeles,LOCAL,UNDETERMINED
SODA,35.2828,-120.6597,2003,2016,6/4/2016,6/6/2016,CA,San Luis Obispo,BLM,UNDETERMINED
STONY,36.2127,-121.1261,3000,2016,6/2/2016,6/17/2016,CA,Monterey,USFS,UNDETERMINED
CHIMNEY,36.1427,-118.6093,1324,2016,6/1/2016,6/7/2016,CA,Tulare,BLM,HUMAN
METZ,36.2127,-121.1261,3876,2016,5/22/2016,5/25/2016,CA,Monterey,CAL FIRE,DEBRIS BURNING
CAMP ROBERTS,35.2828,-120.6597,3712,2016,5/18/2016,5/20/2016,CA,San Luis Obispo,MIL,UNDETERMINED
SOLIMAR,34.3141667,-119.3527778,1288,2015,12/26/2015,,CA,Ventura County,STATE OR PRIVATE,Missing/Undefined
HIGHWAY,33.8434,-114.5306,323,2015,11/21/2015,,CA,Riverside County,MISSING/NOT SPECIFIED,Missing/Undefined
CIENEGA,36.691685,-121.340854,690,2015,10/12/2015,10/16/2015,CA,SAN BENITO,MISSING/NOT SPECIFIED,Miscellaneous
MERIDIAN,39.879874,-121.919264,860,2015,10/3/2015,10/4/2015,CA,BUTTE,MISSING/NOT SPECIFIED,Powerline
TASSAJARA,36.391049,-121.595123,1100,2015,9/19/2015,9/27/2015,CA,,STATE OR PRIVATE,Missing/Undefined
VALLEY,38.843988,-122.759707,76067,2015,9/12/2015,,CA,,STATE OR PRIVATE,Missing/Undefined
LUMPKIN,39.51916667,-121.3386111,1045,2015,9/11/2015,9/18/2015,CA,7,USFS,Miscellaneous
BUTTE,38.342719,-120.695967,70868,2015,9/9/2015,10/1/2015,CA,,STATE OR PRIVATE,Missing/Undefined
TENAYA,37.76818,-119.57735,415,2015,9/7/2015,9/15/2015,CA,,NPS,Lightning
ELK,39.21277778,-122.9294444,670,2015,9/2/2015,9/4/2015,CA,33,PRIVATE,Equipment Use
TESLA,37.6205,-121.5795,2850,2015,8/19/2015,8/23/2015,CA,,STATE OR PRIVATE,Missing/Undefined
DEER,35.17,-118.7661111,311,2015,8/18/2015,,CA,Kern County,STATE OR PRIVATE,Missing/Undefined
CUESTA,35.317022,-120.621168,2446,2015,8/16/2015,8/28/2015,CA,SAN LUIS OBISPO,MISSING/NOT SPECIFIED,Miscellaneous
WARM,34.60777778,-118.5625,300,2015,8/16/2015,8/18/2015,CA,37,USFS,Arson
CABIN,34.25611111,-117.8569444,1700,2015,8/14/2015,9/2/2015,CA,37,USFS,Miscellaneous
WALKER,37.87805556,-119.1591667,3676,2015,8/14/2015,10/31/2015,CA,51,USFS,Miscellaneous
HORNO,33.36,-117.4722222,1846,2015,8/13/2015,,CA,San Diego County,OTHER FEDERAL,Missing/Undefined
ANZA,33.55722222,-116.555,550,2015,8/10/2015,8/12/2015,CA,65,BIA,Miscellaneous
JERUSALEM,38.83875,-122.50264,25156,2015,8/9/2015,8/24/2015,CA,Napa,PRIVATE,Equipment Use
DODGE,40.9636,-120.1142,10570,2015,8/3/2015,8/17/2015,CA,Lassen,BLM,Equipment Use
PEAK,41.55583333,-123.7758333,12166,2015,8/2/2015,10/31/2015,CA,15,USFS,Lightning
WILLIAMS,41.58333333,-123.7516667,870,2015,8/2/2015,9/5/2015,CA,15,USFS,Lightning
FEEDER,41.60111111,-123.8513889,898,2015,8/2/2015,9/5/2015,CA,15,USFS,Lightning
SUMMIT,41.58777778,-123.7972222,639,2015,8/2/2015,,CA,23,USFS,Lightning
NICKOWITZ,41.46861111,-123.7516667,7571,2015,8/1/2015,11/2/2015,CA,15,USFS,Lightning
1-51 WILDCAT,40.2335,-123.691833,304,2015,8/1/2015,8/16/2015,CA,HUMBOLDT,MISSING/NOT SPECIFIED,Lightning
EAST,41.01416667,-123.4677778,1529.8,2015,8/1/2015,10/30/2015,CA,23,USFS,Lightning
COON,41.76361111,-123.9622222,5679,2015,8/1/2015,,CA,15,USFS,Lightning
1-57 DOBBYN,40.2345,-123.646333,788,2015,8/1/2015,8/17/2015,CA,,STATE OR PRIVATE,Lightning
BEAR,41.81527778,-123.7483333,11619,2015,7/31/2015,,CA,15,USFS,Lightning
CLARK,40.7454,-123.4161,673,2015,7/31/2015,,CA,Trinity County,USFS,Lightning
BARKER,40.6043,-123.08045,3261,2015,7/31/2015,9/12/2015,CA,,STATE OR PRIVATE,Miscellaneous
ROUGH,36.87361111,-118.9047222,151623,2015,7/31/2015,11/6/2015,CA,19,USFS,Lightning
CREEK,37.070409,-121.073904,1450,2015,7/31/2015,7/31/2015,CA,MERCED,UNDEFINED FEDERAL,Miscellaneous
PICKETT,40.34305556,-123.3830556,11004,2015,7/31/2015,9/1/2015,CA,105,USFS,Lightning
PATTISON,40.68,-123.4166667,27150,2015,7/30/2015,8/18/2015,CA,105,USFS,Lightning
BLAKE,40.60972222,-123.5594444,11430,2015,7/30/2015,,CA,23,USFS,Lightning
PINE,40.27138889,-123.6358333,1773,2015,7/30/2015,,CA,23,USFS,Lightning
LASSICS,40.38611111,-123.4472222,18178,2015,7/30/2015,9/6/2015,CA,23,USFS,Lightning
SHIELL,40.46527778,-123.0538889,15378,2015,7/30/2015,10/30/2015,CA,105,USFS,Lightning
BLUE,40.38694444,-123.1733333,2826,2015,7/30/2015,10/30/2015,CA,105,USFS,Lightning
RAIL,40.495,-123.1605556,8669,2015,7/30/2015,10/30/2015,CA,105,USFS,Lightning
PEAK,40.49222222,-123.1983333,6269,2015,7/30/2015,10/30/2015,CA,105,USFS,Lightning
JOHNSON,40.55444444,-123.5011111,34006,2015,7/30/2015,10/30/2015,CA,105,USFS,Lightning
DOG,40.60888889,-123.0880556,3273,2015,7/30/2015,10/5/2015,CA,105,USFS,Lightning
STEELHEAD,40.1678,-123.6389,1404,2015,7/30/2015,,CA,Humboldt County,STATE OR PRIVATE,Missing/Undefined
GOBBLER,40.3575,-123.4413889,8299,2015,7/30/2015,9/1/2015,CA,105,USFS,Lightning
BUCK,40.45583333,-123.5561111,1669,2015,7/30/2015,,CA,23,USFS,Lightning
CASTLE 1,40.72388889,-123.4941667,661.6,2015,7/30/2015,10/30/2015,CA,105,USFS,Lightning
HAPPY,40.89861111,-123.4613889,68040.97,2015,7/30/2015,8/8/2015,CA,105,USFS,Lightning
DYER,40.88111111,-123.4513889,757.39,2015,7/30/2015,8/6/2015,CA,105,USFS,Lightning
FROG,41.39833333,-121.3916667,4812,2015,7/30/2015,10/28/2015,CA,49,USFS,Lightning
GROVES,40.95694444,-123.4533333,6797.8,2015,7/30/2015,10/30/2015,CA,23,USFS,Lightning
YORK,40.77888889,-123.4366667,316,2015,7/30/2015,8/30/2015,CA,105,USFS,Lightning
ROAD,40.92166667,-123.4630556,378.68,2015,7/30/2015,8/7/2015,CA,105,USFS,Lightning
ROCKY,39.91194,-122.49306,69363,2015,7/29/2015,8/15/2015,CA,Lake,PRIVATE,Structure
SWEDES,39.431167,-121.4025,400,2015,7/29/2015,8/16/2015,CA,BUTTE,MISSING/NOT SPECIFIED,Debris Burning
MIDDLE,37.84938,-119.69577,325,2015,7/27/2015,11/8/2015,CA,,NPS,Lightning
WILLOW,37.262607,-119.511139,5702,2015,7/25/2015,,CA,,STATE OR PRIVATE,Arson
LOWELL,39.209281,-120.861137,2304,2015,7/25/2015,8/12/2015,CA,,STATE OR PRIVATE,Missing/Undefined
